temps;exponential;X_EL;X_ET;X_A;X_local_level;X_local_trend
2023-04-29;-8.495834023729358;2.36;0.02;10;1.4100000000000001;-0.005
2023-04-30;-8.543694121397634;2.38;0.02;10;1.405;-0.005
2023-05-01;-8.631160269310868;2.4;0.02;10;1.4;-0.005
2023-05-02;-8.72010539550208;2.42;0.02;10;1.395;-0.005
2023-05-03;-8.619759479765507;2.44;0.02;10;1.3900000000000001;-0.005
2023-05-04;-8.869120142864377;2.46;0.02;10;1.385;-0.005
2023-05-05;-8.847670459638643;2.48;0.02;10;1.38;-0.005
2023-05-06;-8.895253102036593;2.5;0.02;10;1.375;-0.005
2023-05-07;-8.88776802487119;2.52;0.02;10;1.37;-0.005
2023-05-08;-8.996075499605773;2.54;0.02;10;1.365;-0.005
2023-05-09;-8.964023554414617;2.56;0.02;10;1.3599999999999999;-0.005
2023-05-10;-9.025317618708838;2.58;0.02;10;1.355;-0.005
2023-05-11;-9.162826698765105;2.6;0.02;10;1.35;-0.005
2023-05-12;-9.181411704448687;2.62;0.02;10;1.345;-0.005
2023-05-13;-9.25154748012554;2.64;0.02;10;1.3399999999999999;-0.005
2023-05-14;-9.312883917300137;2.66;0.02;10;1.335;-0.005
2023-05-15;-9.371394339685933;2.68;0.02;10;1.33;-0.005
2023-05-16;-9.356873845416425;2.7;0.02;10;1.325;-0.005
2023-05-17;-9.382643652225116;2.72;0.02;10;1.3199999999999998;-0.005
2023-05-18;-9.456213706534957;2.74;0.02;10;1.315;-0.005
2023-05-19;-9.5536218250999;2.7600000000000002;0.02;10;1.31;-0.005
2023-05-20;-9.612311005906799;2.7800000000000002;0.02;10;1.305;-0.005
2023-05-21;-9.560890764802679;2.8000000000000003;0.02;10;1.2999999999999998;-0.005
2023-05-22;-9.70175026849809;2.82;0.02;10;1.295;-0.005
2023-05-23;-9.661040108794019;2.84;0.02;10;1.29;-0.005
2023-05-24;-9.680596209046984;2.86;0.02;10;1.2850000000000001;-0.005
2023-05-25;-9.703838836699497;2.88;0.02;10;1.28;-0.005
2023-05-26;-9.76940638838693;2.9;0.02;10;1.275;-0.005
2023-05-27;-9.792845109751896;2.92;0.02;10;1.27;-0.005
2023-05-28;-9.734035314405793;2.94;0.02;10;1.2650000000000001;-0.005
2023-05-29;-9.898775159158138;2.96;0.02;10;1.26;-0.005
2023-05-30;-9.973497562558833;2.98;0.02;10;1.255;-0.005
2023-05-31;-10.046978693412568;3.0;0.02;10;1.25;-0.005
2023-06-01;-9.994848138141757;3.02;0.02;10;1.245;-0.005
2023-06-02;-9.999640383781166;3.04;0.02;10;1.24;-0.005
2023-06-03;-9.977064823055526;3.06;0.02;10;1.2349999999999999;-0.005
2023-06-04;-10.049783335318923;3.08;0.02;10;1.23;-0.005
2023-06-05;-10.1110813237409;3.1;0.02;10;1.225;-0.005
2023-06-06;-10.204946930484555;3.12;0.02;10;1.22;-0.005
2023-06-07;-10.148672069245755;3.14;0.02;10;1.2149999999999999;-0.005
2023-06-08;-10.13200235687555;3.16;0.02;10;1.21;-0.005
2023-06-09;-10.164095586845852;3.18;0.02;10;1.205;-0.005
2023-06-10;-10.23994578447211;3.2;0.02;10;1.2;-0.005
2023-06-11;-10.279661481656538;3.22;0.02;10;1.1949999999999998;-0.005
2023-06-12;-10.237235954658274;3.24;0.02;10;1.19;-0.005
2023-06-13;-10.361196872349945;3.2600000000000002;0.02;10;1.185;-0.005
2023-06-14;-10.312253183868641;3.2800000000000002;0.02;10;1.18;-0.005
2023-06-15;-10.38930460738378;3.3000000000000003;0.02;10;1.1749999999999998;-0.005
2023-06-16;-10.404215761472567;3.3200000000000003;0.02;10;1.17;-0.005
2023-06-17;-10.320581408110481;3.34;0.02;10;1.165;-0.005
2023-06-18;-10.524791510209548;3.36;0.02;10;1.1600000000000001;-0.005
2023-06-19;-10.41392108857242;3.38;0.02;10;1.155;-0.005
2023-06-20;-10.462987830696026;3.4;0.02;10;1.15;-0.005
2023-06-21;-10.445870292800018;3.42;0.02;10;1.145;-0.005
2023-06-22;-10.49752095037589;3.44;0.02;10;1.1400000000000001;-0.005
2023-06-23;-10.573565923408749;3.46;0.02;10;1.135;-0.005
2023-06-24;-10.47058522677843;3.48;0.02;10;1.13;-0.005
2023-06-25;-10.553398417891161;3.5;0.02;10;1.125;-0.005
2023-06-26;-10.590341639527008;3.52;0.02;10;1.12;-0.005
2023-06-27;-10.599258644048957;3.54;0.02;10;1.115;-0.005
2023-06-28;-10.647172470653116;3.56;0.02;10;1.1099999999999999;-0.005
2023-06-29;-10.609490167228467;3.58;0.02;10;1.105;-0.005
2023-06-30;-10.630304505178948;3.6;0.02;10;1.1;-0.005
2023-07-01;-10.567766556204106;3.62;0.02;10;1.095;-0.005
2023-07-02;-10.615879022585009;3.64;0.02;10;1.0899999999999999;-0.005
2023-07-03;-10.719257966958558;3.66;0.02;10;1.085;-0.005
2023-07-04;-10.658114279258152;3.68;0.02;10;1.08;-0.005
2023-07-05;-10.736305798518085;3.7;0.02;10;1.075;-0.005
2023-07-06;-10.716200797234743;3.72;0.02;10;1.0699999999999998;-0.005
2023-07-07;-10.635714016965915;3.74;0.02;10;1.065;-0.005
2023-07-08;-10.800581717049784;3.7600000000000002;0.02;10;1.06;-0.005
2023-07-09;-10.680433281980138;3.7800000000000002;0.02;10;1.055;-0.005
2023-07-10;-10.712106237678851;3.8000000000000003;0.02;10;1.0499999999999998;-0.005
2023-07-11;-10.72694136942512;3.8200000000000003;0.02;10;1.045;-0.005
2023-07-12;-10.645726866796739;3.84;0.02;10;1.04;-0.005
2023-07-13;-10.69530838545151;3.86;0.02;10;1.0350000000000001;-0.005
2023-07-14;-10.704134978749218;3.88;0.02;10;1.03;-0.005
2023-07-15;-10.834598196956367;3.9;0.02;10;1.025;-0.005
2023-07-16;-10.798030021914304;3.92;0.02;10;1.02;-0.005
2023-07-17;-10.687066236062309;3.94;0.02;10;1.0150000000000001;-0.005
2023-07-18;-10.749852162064203;3.96;0.02;10;1.01;-0.005
2023-07-19;-10.787548618159313;3.98;0.02;10;1.005;-0.005
2023-07-20;-10.708484521148591;4.0;0.02;10;1.0;-0.005
2023-07-21;-10.67492290633588;4.0200000000000005;0.02;10;0.9949999999999999;-0.005
2023-07-22;-10.754775122953646;4.04;0.02;10;0.99;-0.005
2023-07-23;-10.72393683514979;4.0600000000000005;0.02;10;0.9849999999999999;-0.005
2023-07-24;-10.783950485279208;4.08;0.02;10;0.98;-0.005
2023-07-25;-10.679353553154517;4.1;0.02;10;0.9750000000000001;-0.005
2023-07-26;-10.68563206609386;4.12;0.02;10;0.97;-0.005
2023-07-27;-10.714122800623155;4.14;0.02;10;0.9650000000000001;-0.005
2023-07-28;-10.623995960239132;4.16;0.02;10;0.96;-0.005
2023-07-29;-10.655297515021843;4.18;0.02;10;0.9550000000000001;-0.005
2023-07-30;-10.64406059471534;4.2;0.02;10;0.95;-0.005
2023-07-31;-10.620219861086424;4.22;0.02;10;0.9450000000000001;-0.005
2023-08-01;-10.665810439658369;4.24;0.02;10;0.94;-0.005
2023-08-02;-10.623879951214239;4.26;0.02;10;0.935;-0.005
2023-08-03;-10.629637028662561;4.28;0.02;10;0.9299999999999999;-0.005
2023-08-04;-10.59088453143595;4.3;0.02;10;0.925;-0.005
2023-08-05;-10.63212417757634;4.32;0.02;10;0.9199999999999999;-0.005
2023-08-06;-10.617082864550973;4.34;0.02;10;0.915;-0.005
2023-08-07;-10.556115438513936;4.36;0.02;10;0.9099999999999999;-0.005
2023-08-08;-10.55606085010585;4.38;0.02;10;0.905;-0.005
2023-08-09;-10.68899822806132;4.4;0.02;10;0.8999999999999999;-0.005
2023-08-10;-10.563631126588872;4.42;0.02;10;0.895;-0.005
2023-08-11;-10.453385048292377;4.44;0.02;10;0.8899999999999999;-0.005
2023-08-12;-10.602672725194868;4.46;0.02;10;0.885;-0.005
2023-08-13;-10.599101409916656;4.48;0.02;10;0.8799999999999999;-0.005
2023-08-14;-10.47536545792506;4.5;0.02;10;0.875;-0.005
2023-08-15;-10.491473160456632;4.5200000000000005;0.02;10;0.8699999999999999;-0.005
2023-08-16;-10.532354930857164;4.54;0.02;10;0.865;-0.005
2023-08-17;-10.545612912776594;4.5600000000000005;0.02;10;0.8599999999999999;-0.005
2023-08-18;-10.530474117882598;4.58;0.02;10;0.855;-0.005
2023-08-19;-10.43923334643104;4.6000000000000005;0.02;10;0.8499999999999999;-0.005
2023-08-20;-10.286568166002564;4.62;0.02;10;0.845;-0.005
2023-08-21;-10.369689033570292;4.64;0.02;10;0.8400000000000001;-0.005
2023-08-22;-10.407915947194937;4.66;0.02;10;0.835;-0.005
2023-08-23;-10.37248118071798;4.68;0.02;10;0.8300000000000001;-0.005
2023-08-24;-10.426955491608963;4.7;0.02;10;0.825;-0.005
2023-08-25;-10.29591747377356;4.72;0.02;10;0.8200000000000001;-0.005
2023-08-26;-10.26507452824756;4.74;0.02;10;0.815;-0.005
2023-08-27;-10.256153716337339;4.76;0.02;10;0.81;-0.005
2023-08-28;-10.16398886815932;4.78;0.02;10;0.8049999999999999;-0.005
2023-08-29;-10.21056304387261;4.8;0.02;10;0.8;-0.005
2023-08-30;-10.205154622391587;4.82;0.02;10;0.7949999999999999;-0.005
2023-08-31;-10.21823802514973;4.84;0.02;10;0.79;-0.005
2023-09-01;-10.23505124954188;4.86;0.02;10;0.7849999999999999;-0.005
2023-09-02;-10.179895182450062;4.88;0.02;10;0.78;-0.005
2023-09-03;-10.093597898205665;4.9;0.02;10;0.7749999999999999;-0.005
2023-09-04;-10.09569461942225;4.92;0.02;10;0.77;-0.005
2023-09-05;-9.984742585671059;4.94;0.02;10;0.7649999999999999;-0.005
2023-09-06;-10.120450721208458;4.96;0.02;10;0.76;-0.005
2023-09-07;-10.001860377319318;4.98;0.02;10;0.7549999999999999;-0.005
2023-09-08;-9.923301667686452;5.0;0.02;10;0.75;-0.005
2023-09-09;-9.998553519227203;5.0200000000000005;0.02;10;0.7449999999999999;-0.005
2023-09-10;-9.922422211127554;5.04;0.02;10;0.74;-0.005
2023-09-11;-9.90073933966903;5.0600000000000005;0.02;10;0.7349999999999999;-0.005
2023-09-12;-9.873228470032156;5.08;0.02;10;0.73;-0.005
2023-09-13;-9.871594648623292;5.1000000000000005;0.02;10;0.7249999999999999;-0.005
2023-09-14;-9.851734038393444;5.12;0.02;10;0.72;-0.005
2023-09-15;-9.808277165083235;5.14;0.02;10;0.7150000000000001;-0.005
2023-09-16;-9.749337097856245;5.16;0.02;10;0.71;-0.005
2023-09-17;-9.68950445120813;5.18;0.02;10;0.7050000000000001;-0.005
2023-09-18;-9.741810892673694;5.2;0.02;10;0.7;-0.005
2023-09-19;-9.641569527729649;5.22;0.02;10;0.6950000000000001;-0.005
2023-09-20;-9.685670915007687;5.24;0.02;10;0.69;-0.005
2023-09-21;-9.647088172932765;5.26;0.02;10;0.685;-0.005
2023-09-22;-9.607453648367708;5.28;0.02;10;0.6799999999999999;-0.005
2023-09-23;-9.510650318987272;5.3;0.02;10;0.675;-0.005
2023-09-24;-9.511395112892476;5.32;0.02;10;0.6699999999999999;-0.005
2023-09-25;-9.513384978485117;5.34;0.02;10;0.665;-0.005
2023-09-26;-9.494638328070279;5.36;0.02;10;0.6599999999999999;-0.005
2023-09-27;-9.442394944424477;5.38;0.02;10;0.655;-0.005
2023-09-28;-9.443499762994449;5.4;0.02;10;0.6499999999999999;-0.005
2023-09-29;-9.458904983156993;5.42;0.02;10;0.645;-0.005
2023-09-30;-9.3272588720489;5.44;0.02;10;0.6399999999999999;-0.005
2023-10-01;-9.295076750632695;5.46;0.02;10;0.635;-0.005
2023-10-02;-9.392982531508984;5.48;0.02;10;0.6299999999999999;-0.005
2023-10-03;-9.251951514041126;5.5;0.02;10;0.625;-0.005
2023-10-04;-9.187408585240219;5.5200000000000005;0.02;10;0.6199999999999999;-0.005
2023-10-05;-9.238592715800012;5.54;0.02;10;0.615;-0.005
2023-10-06;-9.305251302264908;5.5600000000000005;0.02;10;0.6099999999999999;-0.005
2023-10-07;-9.108550673936959;5.58;0.02;10;0.605;-0.005
2023-10-08;-9.182968275449797;5.6000000000000005;0.02;10;0.5999999999999999;-0.005
2023-10-09;-9.13362302338066;5.62;0.02;10;0.595;-0.005
2023-10-10;-9.18024017821537;5.64;0.02;10;0.5900000000000001;-0.005
2023-10-11;-9.066348641872189;5.66;0.02;10;0.585;-0.005
2023-10-12;-9.000150792788546;5.68;0.02;10;0.5800000000000001;-0.005
2023-10-13;-9.026009260536638;5.7;0.02;10;0.575;-0.005
2023-10-14;-8.997372799409527;5.72;0.02;10;0.5700000000000001;-0.005
2023-10-15;-8.982039245466758;5.74;0.02;10;0.565;-0.005
2023-10-16;-8.871332779691725;5.76;0.02;10;0.56;-0.005
2023-10-17;-8.947727767259943;5.78;0.02;10;0.5549999999999999;-0.005
2023-10-18;-8.908198002634307;5.8;0.02;10;0.55;-0.005
2023-10-19;-8.888312039382742;5.82;0.02;10;0.5449999999999999;-0.005
2023-10-20;-8.834436056844194;5.84;0.02;10;0.54;-0.005
2023-10-21;-8.872721663458448;5.86;0.02;10;0.5349999999999999;-0.005
2023-10-22;-8.861113836144352;5.88;0.02;10;0.53;-0.005
2023-10-23;-8.751564227033635;5.9;0.02;10;0.5249999999999999;-0.005
2023-10-24;-8.670230353100163;5.92;0.02;10;0.52;-0.005
2023-10-25;-8.614338579684679;5.94;0.02;10;0.5149999999999999;-0.005
2023-10-26;-8.629632629732313;5.96;0.02;10;0.51;-0.005
2023-10-27;-8.604973579023927;5.98;0.02;10;0.5049999999999999;-0.005
2023-10-28;-8.606704730683356;6.0;0.02;10;0.5;-0.005
2023-10-29;-8.561611139141606;6.0200000000000005;0.02;10;0.4949999999999999;-0.005
2023-10-30;-8.46832446550676;6.04;0.02;10;0.49;-0.005
2023-10-31;-8.54500529257404;6.0600000000000005;0.02;10;0.4849999999999999;-0.005
2023-11-01;-8.5179193108847;6.08;0.02;10;0.48;-0.005
2023-11-02;-8.495981126995703;6.1000000000000005;0.02;10;0.47499999999999987;-0.005
2023-11-03;-8.528320304497035;6.12;0.02;10;0.47;-0.005
2023-11-04;-8.456345673178658;6.140000000000001;0.02;10;0.46499999999999986;-0.005
2023-11-05;-8.452844349555637;6.16;0.02;10;0.45999999999999996;-0.005
2023-11-06;-8.424406568954561;6.18;0.02;10;0.45500000000000007;-0.005
2023-11-07;-8.38855951104654;6.2;0.02;10;0.44999999999999996;-0.005
2023-11-08;-8.351513188138217;6.22;0.02;10;0.44500000000000006;-0.005
2023-11-09;-8.259791919794337;6.24;0.02;10;0.43999999999999995;-0.005
2023-11-10;-8.33444726053647;6.26;0.02;10;0.43500000000000005;-0.005
2023-11-11;-8.318730592315259;6.28;0.02;10;0.42999999999999994;-0.005
2023-11-12;-8.237091167732537;6.3;0.02;10;0.42500000000000004;-0.005
2023-11-13;-8.267010492011535;6.32;0.02;10;0.41999999999999993;-0.005
2023-11-14;-8.151855133138941;6.34;0.02;10;0.41500000000000004;-0.005
2023-11-15;-8.195207225271654;6.36;0.02;10;0.4099999999999999;-0.005
2023-11-16;-8.122633825440287;6.38;0.02;10;0.405;-0.005
2023-11-17;-8.153534070911842;6.4;0.02;10;0.3999999999999999;-0.005
2023-11-18;-8.126442126796551;6.42;0.02;10;0.395;-0.005
2023-11-19;-8.2101292993908;6.44;0.02;10;0.3899999999999999;-0.005
2023-11-20;-8.074153777930736;6.46;0.02;10;0.385;-0.005
2023-11-21;-8.088460849589456;6.48;0.02;10;0.3799999999999999;-0.005
2023-11-22;-8.053078369186547;6.5;0.02;10;0.375;-0.005
2023-11-23;-8.068051544789057;6.5200000000000005;0.02;10;0.3699999999999999;-0.005
2023-11-24;-8.051972813835992;6.54;0.02;10;0.365;-0.005
2023-11-25;-8.086448197203646;6.5600000000000005;0.02;10;0.3599999999999999;-0.005
2023-11-26;-8.031628182339297;6.58;0.02;10;0.355;-0.005
2023-11-27;-8.011850226792776;6.6000000000000005;0.02;10;0.34999999999999987;-0.005
2023-11-28;-8.022327424405317;6.62;0.02;10;0.345;-0.005
2023-11-29;-8.039726403610466;6.640000000000001;0.02;10;0.33999999999999986;-0.005
2023-11-30;-7.98860209233082;6.66;0.02;10;0.33499999999999996;-0.005
2023-12-01;-8.048268552991244;6.68;0.02;10;0.33000000000000007;-0.005
2023-12-02;-7.911257608101056;6.7;0.02;10;0.32499999999999996;-0.005
2023-12-03;-7.951629981610967;6.72;0.02;10;0.32000000000000006;-0.005
2023-12-04;-7.82744699477359;6.74;0.02;10;0.31499999999999995;-0.005
2023-12-05;-7.904372445741464;6.76;0.02;10;0.31000000000000005;-0.005
2023-12-06;-7.848463370511311;6.78;0.02;10;0.30499999999999994;-0.005
2023-12-07;-7.917246664906574;6.8;0.02;10;0.30000000000000004;-0.005
2023-12-08;-7.908503514793583;6.82;0.02;10;0.29499999999999993;-0.005
2023-12-09;-7.839865394405012;6.84;0.02;10;0.29000000000000004;-0.005
2023-12-10;-7.79735946741325;6.86;0.02;10;0.2849999999999999;-0.005
2023-12-11;-7.891708411144992;6.88;0.02;10;0.28;-0.005
2023-12-12;-7.821971829776512;6.9;0.02;10;0.2749999999999999;-0.005
2023-12-13;-7.739997420497618;6.92;0.02;10;0.27;-0.005
2023-12-14;-7.776912384340425;6.94;0.02;10;0.2649999999999999;-0.005
2023-12-15;-7.84215726513397;6.96;0.02;10;0.26;-0.005
2023-12-16;-7.847024268982291;6.98;0.02;10;0.2549999999999999;-0.005
2023-12-17;-7.803752963694677;7.0;0.02;10;0.25;-0.005
2023-12-18;-7.852324001391284;7.0200000000000005;0.02;10;0.24499999999999988;-0.005
2023-12-19;-7.765784611660608;7.04;0.02;10;0.24;-0.005
2023-12-20;-7.760887778359766;7.0600000000000005;0.02;10;0.23499999999999988;-0.005
2023-12-21;-7.843649126016706;7.08;0.02;10;0.22999999999999998;-0.005
2023-12-22;-7.89514208024293;7.1000000000000005;0.02;10;0.22499999999999987;-0.005
2023-12-23;-7.775484240069553;7.12;0.02;10;0.21999999999999997;-0.005
2023-12-24;-7.7190940980081315;7.140000000000001;0.02;10;0.21499999999999986;-0.005
2023-12-25;-7.699712106202805;7.16;0.02;10;0.20999999999999996;-0.005
2023-12-26;-7.759429823683964;7.18;0.02;10;0.20500000000000007;-0.005
2023-12-27;-7.730166833657005;7.2;0.02;10;0.19999999999999996;-0.005
2023-12-28;-7.766686967402757;7.22;0.02;10;0.19500000000000006;-0.005
2023-12-29;-7.778959740643526;7.24;0.02;10;0.18999999999999995;-0.005
2023-12-30;-7.825190054288317;7.26;0.02;10;0.18500000000000005;-0.005
2023-12-31;-7.741121633691988;7.28;0.02;10;0.17999999999999994;-0.005
2024-01-01;-7.793631073408216;7.3;0.02;10;0.17500000000000004;-0.005
2024-01-02;-7.828686902948796;7.32;0.02;10;0.16999999999999993;-0.005
2024-01-03;-7.846103154688925;7.34;0.02;10;0.16500000000000004;-0.005
2024-01-04;-7.89725928803446;7.36;0.02;10;0.15999999999999992;-0.005
2024-01-05;-7.875013571209323;7.38;0.02;10;0.15500000000000003;-0.005
2024-01-06;-7.851730062996147;7.4;0.02;10;0.1499999999999999;-0.005
