LTd_history,MP_history,anm_type,p_anm
"[-2.664851046512166e-05, -2.2558502856970585e-05, -1.697707363000028e-05, -2.8314511291243283e-06, 1.567935893720494e-05, 6.296245839485873e-05, 6.382992501841533e-05, 2.4267823102155996e-05, 9.057005132145045e-05]","[2.9290134419228293, 2.8876469614739313, 2.7578889736933374, 2.6377036054509144, 2.7477283264727337, 2.537149647422589, 2.4952835129555884, 0.0, 0.0]",0,0.0
"[-3.172292203326588e-05, -2.664851046512166e-05, -2.2558502856970585e-05, -8.128895766763828e-06, 1.8425970071900586e-05, 6.240754972309768e-05, 5.820189665005775e-05, 1.4844687269687831e-05, 9.729343396823075e-05]","[2.9751995066235213, 2.9290134419228293, 2.8876469614739313, 2.671044253128312, 2.657706205205575, 2.5300444187152222, 2.461060697971086, 0.0, 0.0]",0,0.0
"[-3.3827316571409007e-05, -3.172292203326588e-05, -2.664851046512166e-05, -1.697707363000028e-05, 9.454943352124968e-06, 5.584762494193971e-05, 4.974149711332054e-05, 1.4920259563154144e-05, 0.00011247817176513605]","[2.970249988844379, 2.9751995066235213, 2.9290134419228293, 2.7578889736933374, 2.6041615624178505, 2.5034831198948027, 2.4692083210826605, 0.0, 0.0]",0,0.0
"[-3.0866650279264097e-05, -3.3827316571409007e-05, -3.172292203326588e-05, -2.2558502856970585e-05, 2.278033718729666e-06, 5.155241512718494e-05, 4.4869478141842675e-05, 1.5530544426676506e-05, 0.00011590252327911354]","[2.9724444492668765, 2.970249988844379, 2.9751995066235213, 2.8876469614739313, 2.613297548351278, 2.53224553560196, 2.4700427994308116, 0.0, 0.0]",0,0.0
"[-3.0844551383335737e-05, -3.0866650279264097e-05, -3.3827316571409007e-05, -2.664851046512166e-05, -2.8314511291243283e-06, 4.120782995628624e-05, 4.3440159357383664e-05, 1.5282490803719224e-05, 0.0001224275404846123]","[2.9752272605108496, 2.9724444492668765, 2.970249988844379, 2.9290134419228293, 2.6377036054509144, 2.58835507881946, 2.4726129319415646, 0.0, 0.0]",0,0.0
"[-3.096339914980471e-05, -3.0844551383335737e-05, -3.0866650279264097e-05, -3.172292203326588e-05, -8.128895766763828e-06, 2.9298184894913375e-05, 3.852085463971222e-05, 1.311314131964787e-05, 0.0001315574129210561]","[2.972426086300169, 2.9752272605108496, 2.9724444492668765, 2.9751995066235213, 2.671044253128312, 2.617365601007713, 2.4770295507636195, 0.0, 0.0]",0,0.0
"[-3.298530898641e-05, -3.096339914980471e-05, -3.0844551383335737e-05, -3.3827316571409007e-05, -1.697707363000028e-05, 2.5568159701470133e-05, 3.548483552808623e-05, 9.276350774681637e-06, 0.00013579873074108143]","[2.9708625603168017, 2.972426086300169, 2.9752272605108496, 2.970249988844379, 2.7578889736933374, 2.677404645627564, 2.5091981928605143, 0.0, 0.0]",0,0.0
"[-3.0350738173488876e-05, -3.298530898641e-05, -3.096339914980471e-05, -3.0866650279264097e-05, -2.2558502856970585e-05, 2.2861931561681876e-05, 3.866791770824863e-05, 7.991210116705028e-06, 0.00013684501847806863]","[2.965683144377234, 2.9708625603168017, 2.972426086300169, 2.9724444492668765, 2.8876469614739313, 2.7273645106583686, 2.496623093353037, 0.0, 0.0]",0,0.0
"[-2.2552444613916407e-05, -3.0350738173488876e-05, -3.298530898641e-05, -3.0844551383335737e-05, -2.664851046512166e-05, 1.567935893720494e-05, 4.572424513266618e-05, 1.594344437432733e-05, 0.00013484950457256478]","[3.0079300388795063, 2.965683144377234, 2.9708625603168017, 2.9752272605108496, 2.9290134419228293, 2.7477283264727337, 2.528963285064784, 0.0, 0.0]",0,0.0
"[-1.4030603726972196e-05, -2.2552444613916407e-05, -3.0350738173488876e-05, -3.096339914980471e-05, -3.172292203326588e-05, 1.8425970071900586e-05, 3.3251805495966325e-05, 1.6597899731380468e-05, 0.00012341229197921155]","[3.078956130287533, 3.0079300388795063, 2.965683144377234, 2.972426086300169, 2.9751995066235213, 2.657706205205575, 2.5379441073929514, 0.0, 0.0]",0,0.0
"[-3.4809638002024656e-06, -1.4030603726972196e-05, -2.2552444613916407e-05, -3.298530898641e-05, -3.3827316571409007e-05, 9.454943352124968e-06, 2.6486995209046138e-05, 2.607428431796676e-05, 0.00012638886090637054]","[3.192316212944711, 3.078956130287533, 3.0079300388795063, 2.9708625603168017, 2.970249988844379, 2.6041615624178505, 2.5452981447572287, 0.0, 0.0]",0,0.0
"[7.90160296861507e-06, -3.4809638002024656e-06, -1.4030603726972196e-05, -3.0350738173488876e-05, -3.0866650279264097e-05, 2.278033718729666e-06, 3.2645654356550393e-05, 3.436129233139254e-05, 0.0001260182515165597]","[3.357913835081117, 3.192316212944711, 3.078956130287533, 2.965683144377234, 2.9724444492668765, 2.613297548351278, 2.562126926258172, 0.0, 0.0]",0,0.0
"[1.1757641542607847e-05, 7.90160296861507e-06, -3.4809638002024656e-06, -2.2552444613916407e-05, -3.0844551383335737e-05, -2.8314511291243283e-06, 4.030153973896234e-05, 3.7630602721975476e-05, 0.00012560674100671218]","[3.0867784827919964, 3.357913835081117, 3.192316212944711, 3.0079300388795063, 2.9752272605108496, 2.6377036054509144, 2.5847974742772877, 0.0, 0.0]",0,0.0
"[1.277492879441187e-05, 1.1757641542607847e-05, 7.90160296861507e-06, -1.4030603726972196e-05, -3.096339914980471e-05, -8.128895766763828e-06, 4.712749546421469e-05, 4.184775291565373e-05, 0.00012331723237854635]","[3.0319662941274337, 3.0867784827919964, 3.357913835081117, 3.078956130287533, 2.972426086300169, 2.671044253128312, 2.530819318830754, 0.0, 0.0]",0,0.0
"[1.2126292950642942e-05, 1.277492879441187e-05, 1.1757641542607847e-05, -3.4809638002024656e-06, -3.298530898641e-05, -1.697707363000028e-05, 5.3916962187847535e-05, 3.630798346382834e-05, 0.00011451597592957282]","[2.957051807791463, 3.0319662941274337, 3.0867784827919964, 3.192316212944711, 2.9708625603168017, 2.7578889736933374, 2.5347303337673006, 0.0, 0.0]",0,0.0
"[2.0030390880965538e-05, 1.2126292950642942e-05, 1.277492879441187e-05, 7.90160296861507e-06, -3.0350738173488876e-05, -2.2558502856970585e-05, 5.9528999525418104e-05, 3.402906207199553e-05, 0.00010376501883741675]","[2.840032829894217, 2.957051807791463, 3.0319662941274337, 3.357913835081117, 2.965683144377234, 2.8876469614739313, 2.5469993555437047, 0.0, 0.0]",0,0.0
"[2.6382078640129384e-05, 2.0030390880965538e-05, 1.2126292950642942e-05, 1.1757641542607847e-05, -2.2552444613916407e-05, -2.664851046512166e-05, 6.296245839485873e-05, 3.4105093487588445e-05, 0.00010261615444563443]","[2.899562883276538, 2.840032829894217, 2.957051807791463, 3.0867784827919964, 3.0079300388795063, 2.9290134419228293, 2.537149647422589, 0.0, 0.0]",0,0.0
"[3.5738190578555516e-05, 2.6382078640129384e-05, 2.0030390880965538e-05, 1.277492879441187e-05, -1.4030603726972196e-05, -3.172292203326588e-05, 6.240754972309768e-05, 3.2111144546343846e-05, 0.00011405651742807991]","[3.081014772677521, 2.899562883276538, 2.840032829894217, 3.0319662941274337, 3.078956130287533, 2.9751995066235213, 2.5300444187152222, 0.0, 0.0]",0,0.0
"[4.667206848909939e-05, 3.5738190578555516e-05, 2.6382078640129384e-05, 1.2126292950642942e-05, -3.4809638002024656e-06, -3.3827316571409007e-05, 5.584762494193971e-05, 3.143773544405604e-05, 0.0001299635151624552]","[3.1522861571252316, 3.081014772677521, 2.899562883276538, 2.957051807791463, 3.192316212944711, 2.970249988844379, 2.5034831198948027, 0.0, 0.0]",0,0.0
"[4.499748884984858e-05, 4.667206848909939e-05, 3.5738190578555516e-05, 2.0030390880965538e-05, 7.90160296861507e-06, -3.0866650279264097e-05, 5.155241512718494e-05, 3.4320753660375254e-05, 0.00013420365725421194]","[3.1194972141820516, 3.1522861571252316, 3.081014772677521, 2.840032829894217, 3.357913835081117, 2.9724444492668765, 2.53224553560196, 0.0, 0.0]",0,0.0
"[4.8910460730309696e-05, 4.499748884984858e-05, 4.667206848909939e-05, 2.6382078640129384e-05, 1.1757641542607847e-05, -3.0844551383335737e-05, 4.120782995628624e-05, 3.111185971765807e-05, 0.0001247554367440196]","[3.104951408032172, 3.1194972141820516, 3.1522861571252316, 2.899562883276538, 3.0867784827919964, 2.9752272605108496, 2.58835507881946, 0.0, 0.0]",0,0.0
"[5.4484048914946104e-05, 4.8910460730309696e-05, 4.499748884984858e-05, 3.5738190578555516e-05, 1.277492879441187e-05, -3.096339914980471e-05, 2.9298184894913375e-05, 2.6168375559135088e-05, 0.00012032904601895317]","[3.112491283783606, 3.104951408032172, 3.1194972141820516, 3.081014772677521, 3.0319662941274337, 2.972426086300169, 2.617365601007713, 0.0, 0.0]",0,0.0
"[5.1144583996955324e-05, 5.4484048914946104e-05, 4.8910460730309696e-05, 4.667206848909939e-05, 1.2126292950642942e-05, -3.298530898641e-05, 2.5568159701470133e-05, 2.2038562331814744e-05, 0.00011348671007830637]","[3.04616604432059, 3.112491283783606, 3.104951408032172, 3.1522861571252316, 2.957051807791463, 2.9708625603168017, 2.677404645627564, 0.0, 0.0]",0,0.0
"[4.531144334710101e-05, 5.1144583996955324e-05, 5.4484048914946104e-05, 4.499748884984858e-05, 2.0030390880965538e-05, -3.0350738173488876e-05, 2.2861931561681876e-05, 1.6360138491126132e-05, 0.00011855007107436498]","[2.957144316580114, 3.04616604432059, 3.112491283783606, 3.1194972141820516, 2.840032829894217, 2.965683144377234, 2.7273645106583686, 0.0, 0.0]",0,0.0
"[3.3323713814322544e-05, 4.531144334710101e-05, 5.1144583996955324e-05, 4.8910460730309696e-05, 2.6382078640129384e-05, -2.2552444613916407e-05, 1.567935893720494e-05, 2.0190508180989898e-05, 0.00011488292810434776]","[2.9309457408876254, 2.957144316580114, 3.04616604432059, 3.104951408032172, 2.899562883276538, 3.0079300388795063, 2.7477283264727337, 0.0, 0.0]",0,0.0
"[2.5548299302823255e-05, 3.3323713814322544e-05, 4.531144334710101e-05, 5.4484048914946104e-05, 3.5738190578555516e-05, -1.4030603726972196e-05, 1.8425970071900586e-05, 2.6629716501743592e-05, 0.0001135638680533204]","[2.938152226071075, 2.9309457408876254, 2.957144316580114, 3.112491283783606, 3.081014772677521, 3.078956130287533, 2.657706205205575, 0.0, 0.0]",0,0.0
"[2.424321032612685e-05, 2.5548299302823255e-05, 3.3323713814322544e-05, 5.1144583996955324e-05, 4.667206848909939e-05, -3.4809638002024656e-06, 9.454943352124968e-06, 3.1008640275511726e-05, 0.00011512238121068368]","[2.928640608406684, 2.938152226071075, 2.9309457408876254, 3.04616604432059, 3.1522861571252316, 3.192316212944711, 2.6041615624178505, 2.53134765243693, 0.0]",0,0.0
"[2.820547826512387e-05, 2.424321032612685e-05, 2.5548299302823255e-05, 4.531144334710101e-05, 4.499748884984858e-05, 7.90160296861507e-06, 2.278033718729666e-06, 3.567240434436154e-05, 0.0001180569531852477]","[2.955300572995825, 2.928640608406684, 2.938152226071075, 2.957144316580114, 3.1194972141820516, 3.357913835081117, 2.613297548351278, 2.478350767309748, 0.0]",0,0.0
"[4.3279906514555394e-05, 2.820547826512387e-05, 2.424321032612685e-05, 3.3323713814322544e-05, 4.8910460730309696e-05, 1.1757641542607847e-05, -2.8314511291243283e-06, 4.4087354471589925e-05, 0.00011747548758160215]","[3.0357497006497973, 2.955300572995825, 2.928640608406684, 2.9309457408876254, 3.104951408032172, 3.0867784827919964, 2.6377036054509144, 2.354105677040718, 0.0]",0,0.0
"[5.1503735489455666e-05, 4.3279906514555394e-05, 2.820547826512387e-05, 2.5548299302823255e-05, 5.4484048914946104e-05, 1.277492879441187e-05, -8.128895766763828e-06, 5.271440794812355e-05, 0.00011949261920598194]","[3.112990303690233, 3.0357497006497973, 2.955300572995825, 2.938152226071075, 3.112491283783606, 3.0319662941274337, 2.671044253128312, 2.4785929439102623, 0.0]",0,0.0
"[4.8727595248843064e-05, 5.1503735489455666e-05, 4.3279906514555394e-05, 2.424321032612685e-05, 5.1144583996955324e-05, 1.2126292950642942e-05, -1.697707363000028e-05, 5.2203366552127316e-05, 0.00011384066647832932]","[3.1561103405331394, 3.112990303690233, 3.0357497006497973, 2.928640608406684, 3.04616604432059, 2.957051807791463, 2.7578889736933374, 2.5187292883091765, 0.0]",0,0.0
"[6.118163997734137e-05, 4.8727595248843064e-05, 5.1503735489455666e-05, 2.820547826512387e-05, 4.531144334710101e-05, 2.0030390880965538e-05, -2.2558502856970585e-05, 5.827521386212672e-05, 0.0001120635654961293]","[3.309122630406378, 3.1561103405331394, 3.112990303690233, 2.955300572995825, 2.957144316580114, 2.840032829894217, 2.8876469614739313, 2.5242335018992588, 0.0]",0,0.0
"[6.822016327182386e-05, 6.118163997734137e-05, 4.8727595248843064e-05, 4.3279906514555394e-05, 3.3323713814322544e-05, 2.6382078640129384e-05, -2.664851046512166e-05, 6.382992501841533e-05, 0.0001122749434669111]","[3.3763864599053655, 3.309122630406378, 3.1561103405331394, 3.0357497006497973, 2.9309457408876254, 2.899562883276538, 2.9290134419228293, 2.4952835129555884, 0.0]",0,0.0
"[7.4466941806641e-05, 6.822016327182386e-05, 6.118163997734137e-05, 5.1503735489455666e-05, 2.5548299302823255e-05, 3.5738190578555516e-05, -3.172292203326588e-05, 5.820189665005775e-05, 0.00011189175508531382]","[3.3520842196880793, 3.3763864599053655, 3.309122630406378, 3.112990303690233, 2.938152226071075, 3.081014772677521, 2.9751995066235213, 2.461060697971086, 0.0]",0,0.0
"[6.70840556593173e-05, 7.4466941806641e-05, 6.822016327182386e-05, 4.8727595248843064e-05, 2.424321032612685e-05, 4.667206848909939e-05, -3.3827316571409007e-05, 4.974149711332054e-05, 0.00011358754947153019]","[3.3368317083143406, 3.3520842196880793, 3.3763864599053655, 3.1561103405331394, 2.928640608406684, 3.1522861571252316, 2.970249988844379, 2.4692083210826605, 0.0]",0,0.0
"[5.483258942191851e-05, 6.70840556593173e-05, 7.4466941806641e-05, 6.118163997734137e-05, 2.820547826512387e-05, 4.499748884984858e-05, -3.0866650279264097e-05, 4.4869478141842675e-05, 0.00011443682082912727]","[3.3483050238046905, 3.3368317083143406, 3.3520842196880793, 3.309122630406378, 2.955300572995825, 3.1194972141820516, 2.9724444492668765, 2.4700427994308116, 0.0]",0,0.0
"[3.771441188949832e-05, 5.483258942191851e-05, 6.70840556593173e-05, 6.822016327182386e-05, 4.3279906514555394e-05, 4.8910460730309696e-05, -3.0844551383335737e-05, 4.3440159357383664e-05, 0.00011577457452625898]","[3.381406920306996, 3.3483050238046905, 3.3368317083143406, 3.3763864599053655, 3.0357497006497973, 3.104951408032172, 2.9752272605108496, 2.4726129319415646, 0.0]",0,0.0
"[4.119787293374327e-05, 3.771441188949832e-05, 5.483258942191851e-05, 7.4466941806641e-05, 5.1503735489455666e-05, 5.4484048914946104e-05, -3.096339914980471e-05, 3.852085463971222e-05, 0.00011391416648353198]","[3.3808879279215063, 3.381406920306996, 3.3483050238046905, 3.3520842196880793, 3.112990303690233, 3.112491283783606, 2.972426086300169, 2.4770295507636195, 0.0]",0,0.0
"[4.032894463779489e-05, 4.119787293374327e-05, 3.771441188949832e-05, 6.70840556593173e-05, 4.8727595248843064e-05, 5.1144583996955324e-05, -3.298530898641e-05, 3.548483552808623e-05, 0.00012073260773402114]","[3.3847176958723444, 3.3808879279215063, 3.381406920306996, 3.3368317083143406, 3.1561103405331394, 3.04616604432059, 2.9708625603168017, 2.5091981928605143, 0.0]",0,0.0
"[4.127994099212044e-05, 4.032894463779489e-05, 4.119787293374327e-05, 5.483258942191851e-05, 6.118163997734137e-05, 4.531144334710101e-05, -3.0350738173488876e-05, 3.866791770824863e-05, 0.000126331770928703]","[3.382757254840538, 3.3847176958723444, 3.3808879279215063, 3.3483050238046905, 3.309122630406378, 2.957144316580114, 2.965683144377234, 2.496623093353037, 0.0]",0,0.0
"[4.2801475812476244e-05, 4.127994099212044e-05, 4.032894463779489e-05, 3.771441188949832e-05, 6.822016327182386e-05, 3.3323713814322544e-05, -2.2552444613916407e-05, 4.572424513266618e-05, 0.00013319377326436339]","[3.334561230257813, 3.382757254840538, 3.3847176958723444, 3.381406920306996, 3.3763864599053655, 2.9309457408876254, 3.0079300388795063, 2.528963285064784, 0.0]",0,0.0
"[6.840212298887298e-05, 4.2801475812476244e-05, 4.127994099212044e-05, 4.119787293374327e-05, 7.4466941806641e-05, 2.5548299302823255e-05, -1.4030603726972196e-05, 3.3251805495966325e-05, 0.00012298657162654545]","[3.4726522811309493, 3.334561230257813, 3.382757254840538, 3.3808879279215063, 3.3520842196880793, 2.938152226071075, 3.078956130287533, 2.5379441073929514, 0.0]",0,0.0
"[8.040731573183306e-05, 6.840212298887298e-05, 4.2801475812476244e-05, 4.032894463779489e-05, 6.70840556593173e-05, 2.424321032612685e-05, -3.4809638002024656e-06, 2.6486995209046138e-05, 0.00010806567632325068]","[3.4286827875564763, 3.4726522811309493, 3.334561230257813, 3.3847176958723444, 3.3368317083143406, 2.928640608406684, 3.192316212944711, 2.5452981447572287, 0.0]",0,0.0
"[8.962102546623607e-05, 8.040731573183306e-05, 6.840212298887298e-05, 4.127994099212044e-05, 5.483258942191851e-05, 2.820547826512387e-05, 7.90160296861507e-06, 3.2645654356550393e-05, 9.803493241644881e-05]","[3.384588635294534, 3.4286827875564763, 3.4726522811309493, 3.382757254840538, 3.3483050238046905, 2.955300572995825, 3.357913835081117, 2.562126926258172, 0.0]",0,0.0
"[9.07190514424871e-05, 8.962102546623607e-05, 8.040731573183306e-05, 4.2801475812476244e-05, 3.771441188949832e-05, 4.3279906514555394e-05, 1.1757641542607847e-05, 4.030153973896234e-05, 9.715725381465685e-05]","[3.3496599734761165, 3.384588635294534, 3.4286827875564763, 3.334561230257813, 3.381406920306996, 3.0357497006497973, 3.0867784827919964, 2.5847974742772877, 0.0]",0,0.0
"[9.151143450905813e-05, 9.07190514424871e-05, 8.962102546623607e-05, 6.840212298887298e-05, 4.119787293374327e-05, 5.1503735489455666e-05, 1.277492879441187e-05, 4.712749546421469e-05, 9.976780063921605e-05]","[3.3561869031756153, 3.3496599734761165, 3.384588635294534, 3.4726522811309493, 3.3808879279215063, 3.112990303690233, 3.0319662941274337, 2.530819318830754, 0.0]",0,0.0
"[9.171174514771872e-05, 9.151143450905813e-05, 9.07190514424871e-05, 8.040731573183306e-05, 4.032894463779489e-05, 4.8727595248843064e-05, 1.2126292950642942e-05, 5.3916962187847535e-05, 9.390185030428046e-05]","[3.335953423571926, 3.3561869031756153, 3.3496599734761165, 3.4286827875564763, 3.3847176958723444, 3.1561103405331394, 2.957051807791463, 2.5347303337673006, 0.0]",0,0.0
"[9.479027916652142e-05, 9.171174514771872e-05, 9.151143450905813e-05, 8.962102546623607e-05, 4.127994099212044e-05, 6.118163997734137e-05, 2.0030390880965538e-05, 5.9528999525418104e-05, 9.288095515624254e-05]","[3.3214923060789046, 3.335953423571926, 3.3561869031756153, 3.384588635294534, 3.382757254840538, 3.309122630406378, 2.840032829894217, 2.5469993555437047, 0.0]",0,0.0
"[9.255878555412157e-05, 9.479027916652142e-05, 9.171174514771872e-05, 9.07190514424871e-05, 4.2801475812476244e-05, 6.822016327182386e-05, 2.6382078640129384e-05, 6.296245839485873e-05, 9.084204377948914e-05]","[3.265233264225109, 3.3214923060789046, 3.335953423571926, 3.3496599734761165, 3.334561230257813, 3.3763864599053655, 2.899562883276538, 2.537149647422589, 0.0]",0,0.0
"[9.475364814702319e-05, 9.255878555412157e-05, 9.479027916652142e-05, 9.151143450905813e-05, 6.840212298887298e-05, 7.4466941806641e-05, 3.5738190578555516e-05, 6.240754972309768e-05, 8.26091544701925e-05]","[3.2300125631865413, 3.265233264225109, 3.3214923060789046, 3.3561869031756153, 3.4726522811309493, 3.3520842196880793, 3.081014772677521, 2.5300444187152222, 0.0]",0,0.0
"[0.00010624590544298384, 9.475364814702319e-05, 9.255878555412157e-05, 9.171174514771872e-05, 8.040731573183306e-05, 6.70840556593173e-05, 4.667206848909939e-05, 5.584762494193971e-05, 7.141476385218694e-05]","[3.1368102081722027, 3.2300125631865413, 3.265233264225109, 3.335953423571926, 3.4286827875564763, 3.3368317083143406, 3.1522861571252316, 2.5034831198948027, 0.0]",0,0.0
"[0.00011420089018902834, 0.00010624590544298384, 9.475364814702319e-05, 9.479027916652142e-05, 8.962102546623607e-05, 5.483258942191851e-05, 4.499748884984858e-05, 5.155241512718494e-05, 7.26666673283123e-05]","[3.0328879723961286, 3.1368102081722027, 3.2300125631865413, 3.3214923060789046, 3.384588635294534, 3.3483050238046905, 3.1194972141820516, 2.53224553560196, 0.0]",0,0.0
"[0.00011958595812147036, 0.00011420089018902834, 0.00010624590544298384, 9.255878555412157e-05, 9.07190514424871e-05, 3.771441188949832e-05, 4.8910460730309696e-05, 4.120782995628624e-05, 6.630766846745812e-05]","[2.9992236637673173, 3.0328879723961286, 3.1368102081722027, 3.265233264225109, 3.3496599734761165, 3.381406920306996, 3.104951408032172, 2.58835507881946, 0.0]",0,0.0
"[0.00011722907855133406, 0.00011958595812147036, 0.00011420089018902834, 9.475364814702319e-05, 9.151143450905813e-05, 4.119787293374327e-05, 5.4484048914946104e-05, 2.9298184894913375e-05, 6.429965625641563e-05]","[2.95117985180284, 2.9992236637673173, 3.0328879723961286, 3.2300125631865413, 3.3561869031756153, 3.3808879279215063, 3.112491283783606, 2.617365601007713, 0.0]",0,0.0
"[0.0001153551967339719, 0.00011722907855133406, 0.00011958595812147036, 0.00010624590544298384, 9.171174514771872e-05, 4.032894463779489e-05, 5.1144583996955324e-05, 2.5568159701470133e-05, 6.361486127943112e-05]","[2.954031247263785, 2.95117985180284, 2.9992236637673173, 3.1368102081722027, 3.335953423571926, 3.3847176958723444, 3.04616604432059, 2.677404645627564, 0.0]",0,0.0
"[0.00012397369700041042, 0.0001153551967339719, 0.00011722907855133406, 0.00011420089018902834, 9.479027916652142e-05, 4.127994099212044e-05, 4.531144334710101e-05, 2.2861931561681876e-05, 5.317684945869385e-05]","[2.954136383377245, 2.954031247263785, 2.95117985180284, 3.0328879723961286, 3.3214923060789046, 3.382757254840538, 2.957144316580114, 2.7273645106583686, 0.0]",0,0.0
